Run,Population Member,Composite Fitness, Absolute Fitness
3,15,2.69091,2.29
3,16,2.58,2.69
3,17,2.56727,2.39
3,18,2.64636,2.97
3,19,2.77818,2.96
3,20,2.58182,2.97
3,21,2.72182,2.97
3,22,2.58909,2.97
3,23,2.65727,2.2
3,24,2.73091,2.97
3,25,2.54727,2.27
3,26,2.57273,2.97
3,27,2.55182,2.97
3,28,2.63091,2.97
3,29,2.54091,2.51
3,30,2.59364,1.91
3,31,2.53,2.14
3,32,2.57545,2.51
3,33,2.63818,2.17
3,34,2.57818,2.97
3,35,2.70636,2.97
3,36,2.51091,2.39
3,37,2.61909,2.43
3,38,2.57273,1.87
3,39,2.64818,2.56
3,40,2.65,2.43
3,41,2.59091,2.94
3,42,2.60364,2.65
3,43,2.66545,2.21
3,44,2.59818,2.94
3,45,2.50909,2.97
3,46,2.59636,1.93
3,47,2.57727,2.39
3,48,2.54182,2.73
3,49,2.56364,2.97
3,50,2.55091,2.07
3,51,2.57545,2.73
3,52,2.65636,2.97
3,53,2.66545,2.77
3,54,2.5,2.19
3,55,2.53,2.97
3,56,2.54727,2.96
3,57,2.50364,2.44
3,58,2.68545,2.31
3,59,2.53091,2.94
3,60,2.65,2.47
3,61,2.69455,2.97
3,62,2.58091,2.47
3,63,2.52182,2.29
3,64,2.64182,2.77
3,65,2.64818,2.35
3,66,2.66,2.1
3,67,2.57182,2.07
3,68,2.58,2.19
3,69,2.56,2.29
3,70,2.50545,2.14
3,71,2.62455,2.07
3,72,2.57182,2.49
3,73,2.81364,2.44
3,74,2.62273,2.04
3,75,2.59182,2.49
3,76,2.51091,2.59
3,77,2.74,2.51
3,78,2.51182,2.31
3,79,2.64091,2.21
3,80,2.63455,2.49
3,81,2.50273,2.94
3,82,2.56273,2.94
3,83,2.55455,2.54
3,84,2.57182,2.31
3,85,2.63727,2.22
3,86,2.51455,2.15
3,87,2.61818,2.57
3,88,2.51182,2.69
3,89,2.51,2.39
3,90,2.50727,2.19
3,91,2.50545,1.93
3,92,2.51455,2.97
3,93,2.71909,2.73
3,94,2.53182,2.97
3,95,2.60727,2.97
3,96,2.67727,2.97
3,97,2.61909,2.97
3,98,2.64818,2.51
3,99,2.63182,2.97
